old_url,source_files,new_path
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65dc9d7755952d49425be799_LAS-Work_212-transcode.mp4,las-art-foundation-brand-identity-motion.html,assets/las-art-foundation/las-art-foundation-branding-motion-las-work-212-transcode.mp4
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65dc9f144dd3a6001db40940_LAS-Brand-Guidelines-Case-Study_00000.gif,las-art-foundation-brand-identity-motion.html,assets/las-art-foundation/las-art-foundation-branding-motion-las-brand-guidelines-case-study-00000.gif
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c4f58335449644167848_FF,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff.mp4
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c4fe4810cff67cb59523_FF-Work_01-transcode.mp4,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-work-01-transcode.mp4
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c5121620909542b5bc81_FF-Work_05.webp,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-work-05.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c5124d4241d14ed2cafc_FF-Work_04.webp,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-work-04.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c512821468600d1a19ef_FF-Brochure_Cover-Mockup.webp,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-brochure-cover-mockup.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c5129aa3c9c26d45c46b_FF-Work_11.webp,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-work-11.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c5130810255f378b1cf9_FF-Work_12.webp,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-work-12.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c5136f609e19c8d8126d_FF-Work_13.webp,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-work-13.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c5136f6e77e6eaa8ff9e_FF-Work_06.webp,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-work-06.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c5453b91259b4ccb1f65_FF-Work_09-transcode.mp4,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-work-09-transcode.mp4
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c616bce1af9e569355ba_FF-Work_02-transcode.mp4,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-work-02-transcode.mp4
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c63c10ba6c77356c34f0_FF-Logo_Grid_Animation-transcode.mp4,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-logo-grid-animation-transcode.mp4
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c67c76546ca0cd02f909_FF-Work_15-transcode.mp4,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-work-15-transcode.mp4
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c6bf0a90de384d11496a_FF-Kinetic_Typo-16x9-transcode.mp4,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-kinetic-typo-16x9-transcode.mp4
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e1c6d976cb51f5767c652d_FF-Work_10-transcode.mp4,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-work-10-transcode.mp4
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e6f2df60f9ee4b1ea7984e_Bianca_Chen-IG-Story.webp,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bianca-chen-ig-story.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e6f2df87dbec8f2986d515_Bianca_Poster-01.webp,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bianca-poster-01.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e6f2e0d1796a72bf8b985e_Bianca_Chen-IG-Post.webp,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bianca-chen-ig-post.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/65e9fe0e9ff608858220bfa7_FF-images.webp,friends-of-friends-brand-identity-web.html,assets/friends-of-friends/friends-of-friends-publication-brand-ff-images.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/6638e88dc66a1970a771a26c_BC-A4-Poster_Mockup.webp,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bc-a4-poster-mockup.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/6638ee86acfb06657caf0f0b_bianca-MAIN_LOGO-all_colors.gif,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bianca-main-logo-all-colors.gif
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/6638eeb035b5229f14257965_Bianca_Chen-Full,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bianca-chen-full.mp4
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/6638f02917cb39e6edbd82e6_BC-Card_Mockup.webp,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bc-card-mockup.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/6638f029b5a2edbf99315bb1_BC-Tote_Bag-Mockup.webp,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bc-tote-bag-mockup.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/6638f02a77854d41b4e9649f_BC-Desktop_Mac-mockup.webp,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bc-desktop-mac-mockup.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/6638f02b77854d41b4e9649f_BC-Curated_by-visual_black.webp,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bc-curated-by-visual-black.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/6638f02bb1fb80b6192e1048_Shapes-GIF_printed.gif,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-shapes-gif-printed.gif
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/6638fad1b95cf1175bd23de7_BC-Poster_Calendar.webp,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bc-poster-calendar.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/663903a07460087f4ff08254_Bianca_Chen-Home_Scroll-Updated-transcode.mp4,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bianca-chen-home-scroll-updated-transcod.mp4
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/6639ef4a464c0810b8a5effb_BC-Project-page.webp,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bc-project-page.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/6639ef8dd689aa172e0d987a_BC-Menu_focus-Mobile-v2.webp,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bc-menu-focus-mobile-v2.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/6639f344d9da35f34644c9da_BC-mulitple_posters-portrait.webp,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bc-mulitple-posters-portrait.webp
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/663a588a14783340918b7d0a_Bianca_Chen-Colors.jpg,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bianca-chen-colors.jpg
https://cdn.prod.website-files.com/65c5074d380afa8c0d0482af/663a58a3993746fa81b55549_Bianca_Chen-Typefaces.jpg,bianca-chen-brand-identity.html,assets/bianca-chen/bianca-chen-brand-identity-bianca-chen-typefaces.jpg
